SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,FantasyPointsAllowed,QuarterbackFantasyPointsAllowed,RunningbackFantasyPointsAllowed,WideReceiverFantasyPointsAllowed,TightEndFantasyPointsAllowed,KickerFantasyPointsAllowed,BlockedKickReturnYards,FieldGoalReturnYards,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,IsGameOver,FantasyPoints,Stadium,Temperature,Humidity,WindSpeed,ThirdDownAttempts,ThirdDownConversions,FourthDownAttempts,FourthDownConversions,PointsAllowedByDefenseSpecialTeams,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,VictivSalary,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,OffensiveYardsAllowed,YahooSalary,PlayerID,FantasyPointsYahoo,HeAy
1,2008,1,2008-09-07,ARI,SF,13,0,31,10,4,12,1,3,4,16,0,1,28,0,0,0,1,17,0,17,3,39,0,19,0,0,43.1,1.9,22.7,6.4,5.1,7,0,0,4,3,0,0,TRUE,18,Candlestick Park,70,70,20,8,3,0,0,13,\N,\N,\N,\N,0,18,18,291,\N,1,18,AWAY
1,2008,1,2008-09-07,ATL,DET,21,0,44,6,3,16,2,0,0,0,0,1,38,0,0,0,5,15,0,10,3,75,0,34,0,0,70.68,17.28,15.4,25.7,9.3,3,0,0,3,9,0,0,TRUE,5,Georgia Dome,70,40,0,9,2,0,0,21,\N,\N,\N,\N,0,5,5,316,\N,2,5,HOME
1,2008,1,2008-09-07,BAL,CIN,10,0,35,8,2,10,5,1,1,11,0,1,16,0,0,0,4,56,0,35,2,25,0,14,0,0,20.16,3.26,3.8,6.6,2.5,4,0,0,5,6,0,0,TRUE,10,M&T Bank Stadium,78,85,7,13,2,2,0,4,\N,\N,\N,\N,0,13,13,154,\N,36,13,HOME
1,2008,1,2008-09-07,BUF,SEA,10,1,38,19,5,23,10,2,1,0,0,1,0,0,0,0,6,120,1,63,1,27,0,27,0,0,47.1,9.6,11.9,16.4,5.2,4,0,0,8,9,0,1,TRUE,19,Ralph Wilson Stadium,66,65,11,16,3,1,0,10,\N,\N,\N,\N,0,19,19,252,\N,37,19,HOME
1,2008,1,2008-09-07,CAR,SD,24,1,41,11,1,6,4,1,1,31,1,0,0,0,0,0,3,16,0,10,5,99,0,27,0,0,74.88,20.58,15.6,21.1,11.6,6,0,0,2,1,1,0,TRUE,9,Qualcomm Stadium,81,63,8,12,4,1,1,24,\N,\N,\N,\N,0,9,9,316,\N,5,9,AWAY
1,2008,1,2008-09-07,CHI,IND,13,1,42,6,2,17,5,1,1,21,1,0,0,0,0,1,1,25,0,25,5,90,0,28,0,0,56.28,14.28,8.6,25,1.4,7,0,0,5,6,1,0,TRUE,16,Lucas Oil Stadium,74,51,12,11,5,2,0,13,\N,\N,\N,\N,0,16,16,293,\N,38,16,AWAY
1,2008,1,2008-09-07,CIN,BAL,17,1,57,21,0,0,9,2,2,65,1,0,0,0,0,0,4,11,0,11,4,118,0,44,0,0,53.96,14.86,18.6,17,-1.5,5,0,0,2,4,1,0,TRUE,11,M&T Bank Stadium,78,85,7,17,9,1,0,17,\N,\N,\N,\N,0,11,11,358,\N,7,11,AWAY
1,2008,1,2008-09-07,CLE,DAL,28,0,50,10,0,0,3,0,0,5,0,1,20,0,0,0,2,23,0,14,5,90,0,29,0,0,91.5,14.7,37.1,25.3,10.4,4,0,0,1,0,0,0,TRUE,1,Cleveland Browns Stadium,71,65,12,11,8,1,1,28,\N,\N,\N,\N,0,1,1,487,\N,8,1,HOME
1,2008,1,2008-09-07,DAL,CLE,10,0,30,5,1,0,3,1,0,0,0,0,0,0,0,0,2,8,0,8,2,39,0,20,0,0,39.06,10.96,8.1,4.4,11.6,4,0,0,4,3,0,0,TRUE,5,Cleveland Browns Stadium,71,65,12,9,3,0,0,10,\N,\N,\N,\N,0,5,5,205,\N,48,5,AWAY
1,2008,1,2008-09-08,DEN,OAK,14,0,42,11,2,13,2,0,1,0,0,0,0,0,0,0,2,19,0,11,2,28,0,17,0,0,60.2,13.9,20.5,20.4,3.4,2,0,0,3,5,0,0,TRUE,5,McAfee Coliseum,60,84,13,12,2,4,3,14,\N,\N,\N,\N,0,5,5,307,\N,49,5,AWAY
1,2008,1,2008-09-07,DET,ATL,34,0,42,8,1,5,2,0,0,-8,0,0,0,0,0,0,0,0,0,0,6,123,0,27,0,0,92.34,10.24,50.8,18.3,3,10,0,0,3,3,0,0,TRUE,0,Georgia Dome,70,40,0,9,3,0,0,34,\N,\N,\N,\N,0,0,0,474,\N,11,0,AWAY
1,2008,1,2008-09-08,GB,MIN,19,1,46,11,1,10,6,0,0,0,0,1,7,0,0,0,3,78,1,76,4,92,0,24,0,0,64.62,15.62,22.1,12.9,7,7,0,0,8,1,0,1,TRUE,10,Lambeau Field,58,66,5,16,7,2,2,19,\N,\N,\N,\N,0,10,10,355,\N,12,10,HOME
1,2008,1,2008-09-07,HOU,PIT,38,0,44,17,2,15,2,2,1,41,0,0,0,0,0,0,2,5,0,5,6,112,0,28,0,0,81.48,13.18,35.6,21.5,3.2,8,0,0,1,5,0,0,TRUE,0,Heinz Field,72,47,11,10,6,0,0,38,\N,\N,\N,\N,0,0,0,305,\N,13,0,AWAY
1,2008,1,2008-09-07,IND,CHI,29,0,52,21,2,14,1,1,0,0,0,0,0,0,0,0,1,8,0,8,5,101,0,25,0,0,60.3,7,31.1,5,8.2,9,0,0,4,3,0,0,TRUE,1,Lucas Oil Stadium,74,51,12,16,10,0,0,23,\N,\N,\N,\N,0,2,2,319,\N,14,2,HOME
1,2008,1,2008-09-07,JAX,TEN,17,0,45,13,1,3,2,1,0,0,0,2,23,0,0,0,2,45,0,29,4,138,0,51,0,0,55.2,7.4,28.9,3,10.9,5,0,0,1,4,0,0,TRUE,6,LP Field,78,58,0,13,3,1,0,17,\N,\N,\N,\N,0,6,6,309,\N,52,6,AWAY
1,2008,1,2008-09-07,KC,NE,17,0,45,16,2,16,2,1,2,8,0,0,0,0,0,0,1,7,0,7,4,98,0,31,0,0,61.52,14.42,20.7,19,2.4,5,0,0,4,6,0,0,TRUE,7,Gillette Stadium,75,64,15,13,7,0,0,17,\N,\N,\N,\N,0,7,7,338,\N,55,7,AWAY
1,2008,1,2008-09-07,MIA,NYJ,20,0,37,16,3,13,2,2,1,0,0,0,0,0,0,0,4,38,0,25,4,69,0,21,0,0,64.36,13.96,18.9,24.2,5.3,2,0,0,2,7,0,0,TRUE,6,Dolphins Stadium,88,59,14,13,5,1,1,20,\N,\N,\N,\N,0,6,6,293,\N,64,6,HOME
1,2008,1,2008-09-08,MIN,GB,24,0,38,12,0,0,1,1,0,0,0,0,0,0,1,0,4,13,0,9,3,60,0,22,0,0,60.82,20.62,18.3,14.2,1.7,6,0,0,2,5,0,0,TRUE,0,Lambeau Field,58,66,5,10,4,0,0,24,\N,\N,\N,\N,0,2,2,317,\N,67,2,AWAY
1,2008,1,2008-09-07,NE,KC,10,0,48,26,4,24,3,0,0,0,0,1,3,0,0,0,2,2,0,2,3,70,0,51,0,0,51.04,10.24,12.6,18.7,5.5,4,0,0,9,4,0,0,TRUE,10,Gillette Stadium,75,64,15,16,8,1,0,10,\N,\N,\N,\N,0,10,10,284,\N,21,10,HOME
1,2008,1,2008-09-07,NO,TB,20,0,45,9,2,15,4,0,0,-17,0,1,2,0,0,0,2,10,0,10,5,67,0,22,0,0,61.54,10.94,20.3,20.4,1.9,8,0,0,7,2,0,0,TRUE,5,Louisiana Superdome,87,69,0,12,2,1,0,14,\N,\N,\N,\N,0,5,5,352,\N,69,5,HOME
