Date,SeasonType,Season,Week,Team,Opponent,HeAy,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,QuarterbackHitsDifferential,TacklesForLossDifferential,QuarterbackSacksDifferential,TacklesForLossPercentage,QuarterbackHitsPercentage,TimesSackedPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,OpponentQuarterbackHitsDifferential,OpponentTacklesForLossDifferential,OpponentQuarterbackSacksDifferential,OpponentTacklesForLossPercentage,OpponentQuarterbackHitsPercentage,OpponentTimesSackedPercentage,Kickoffs,KickoffsInEndZone,KickoffTouchbacks,PuntsHadBlocked,PuntNetAverage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,FieldGoalsHadBlocked,PuntReturns,PuntReturnYards,KickReturns,KickReturnYards,InterceptionReturns,InterceptionReturnYards,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentKickoffTouchbacks,OpponentPuntsHadBlocked,OpponentPuntNetAverage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,OpponentFieldGoalsHadBlocked,OpponentPuntReturns,OpponentPuntReturnYards,OpponentKickReturns,OpponentKickReturnYards,OpponentInterceptionReturns,OpponentInterceptionReturnYards,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,InterceptionReturnTouchdowns,BlockedKicks,PuntReturnTouchdowns,PuntReturnLong,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnYards,BlockedKickReturnTouchdowns,FieldGoalReturnYards,FieldGoalReturnTouchdowns,PuntNetYards,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,OpponentFumbleReturnYards,OpponentFumbleReturnTouchdowns,OpponentInterceptionReturnTouchdowns,OpponentBlockedKicks,OpponentPuntReturnTouchdowns,OpponentPuntReturnLong,OpponentKickReturnTouchdowns,OpponentKickReturnLong,OpponentBlockedKickReturnYards,OpponentBlockedKickReturnTouchdowns,OpponentFieldGoalReturnYards,OpponentFieldGoalReturnTouchdowns,OpponentPuntNetYards,TeamName,DayOfWeek,PassingDropbacks,OpponentPassingDropbacks,TwoPointConversionReturns,OpponentTwoPointConversionReturns
2008-09-04,1,2008,1,WAS,NYG,AWAY,7,16,23,Giants Stadium,Artificial,85,50,10,40,4.5,0,7,0,0,0,24,17,24:17:00,11,3,5,3,52,209,4,1,24,84,3.5,0,27,15,125,1,0,4.6,8.3,55.6,80.02,13,3,23.1,2,1,50,1,1,0,0,-2,7,35,0,0,1,8,6,4,0,7,265,37.9,0,1,1,10,6,0,0,0,35,43,35:43:00,21,10,10,1,69,354,5.1,1,32,154,4.8,1,35,19,200,0,1,5.7,10.5,54.3,59.23,14,7,50,0,0,0,3,1,1,1,21,7,70,1,0,2,16,2,4,0,4,145,36.2,1,0,-1,100,0,4,0,1,12.5,16.2,3.6,33.3,100,-4,0,-1,16.7,7.1,5.4,2,1,0,0,34.9,1,1,0,0,0,0,0,0,0,0,1,2,5,145,1,0,5,0,0,0,36.8,1,1,0,0,0,0,0,3,3,0,4,21,2,19,0,0,51,22,2,16,3,0,0,0,0,0,0,0,0,0,50,0,0,0,0,244,39,20,1,8,5,0,0,0,0,0,0,0,14,0,19,0,0,0,0,147,Redskins,Thursday,28,37,0,0
2008-09-04,1,2008,1,NYG,WAS,HOME,16,7,23,Giants Stadium,Artificial,85,50,10,40,-4.5,10,6,0,0,0,35,43,35:43:00,21,10,10,1,69,354,5.1,1,32,154,4.8,1,35,19,200,0,1,5.7,10.5,54.3,59.23,14,7,50,0,0,0,3,1,1,1,21,7,70,1,0,2,16,2,4,0,4,145,36.2,1,0,-1,0,7,0,0,0,24,17,24:17:00,11,3,5,3,52,209,4,1,24,84,3.5,0,27,15,125,1,0,4.6,8.3,55.6,80.02,13,3,23.1,2,1,50,1,1,0,0,-2,7,35,0,0,1,8,6,4,0,7,265,37.9,0,1,1,33.3,100,-4,0,-1,16.7,7.1,5.4,100,0,4,0,1,12.5,16.2,3.6,5,0,0,0,36.8,1,1,0,0,0,0,0,3,3,0,4,21,2,19,0,0,2,1,0,0,34.9,1,1,0,0,0,0,0,0,0,0,1,2,5,145,1,0,39,20,1,8,5,0,0,0,0,0,0,0,14,0,19,0,0,0,0,147,51,22,2,16,3,0,0,0,0,0,0,0,0,0,50,0,0,0,0,244,Giants,Thursday,37,28,0,0
2008-09-07,1,2008,1,ARI,SF,AWAY,23,13,36,Candlestick Park,Grass,70,70,20,41.5,-2.5,3,7,10,3,0,37,5,37:05:00,18,7,10,1,72,285,4,2,39,109,2.8,1,30,19,176,1,0,5.9,9.3,63.3,90.42,16,5,31.2,3,2,67,7,2,3,1,45,4,40,0,0,3,21,4,3,0,4,180,45,0,5,5,7,3,0,3,0,22,55,22:55,13,3,9,1,44,291,6.6,1,20,108,5.4,1,20,14,183,0,1,9.2,13.1,70,77.71,8,3,37.5,0,0,0,1,0,0,0,0,3,20,5,4,4,12,7,4,0,2,87,43.5,5,0,-5,28.6,33.3,-3,-1,1,15,16.7,9.1,0,0,3,1,-1,10.3,21.2,16.7,6,4,2,0,45,2,2,0,0,0,0,0,4,3,0,1,17,3,39,1,28,4,1,1,0,35,1,1,0,0,0,0,0,2,2,0,0,0,4,64,0,0,31,10,4,12,1,3,4,16,0,0,0,0,17,0,19,0,0,0,0,180,46,19,3,21,7,0,0,0,0,0,0,0,0,0,44,0,0,0,0,70,Cardinals,Sunday,33,24,0,0
2008-09-07,1,2008,1,CAR,SD,AWAY,26,24,50,Qualcomm Stadium,Grass,81,63,8,43,10,0,9,7,10,0,32,2,32:02:00,20,7,12,1,71,388,5.5,2,29,142,4.9,0,41,23,246,1,0,6,10.7,56.1,81.96,15,5,33.3,2,1,50,4,1,2,0,16,6,29,1,1,1,1,2,1,0,3,144,48,1,1,0,0,7,3,14,0,27,58,27:58:00,17,6,10,1,55,316,5.7,3,27,105,3.9,0,27,17,211,3,0,7.8,12.4,63,124.15,12,4,33.3,1,1,100,2,1,1,1,12,2,12,1,1,1,6,3,5,0,5,238,47.6,1,1,0,25,0,-1,-4,0,3.7,7.1,2.4,50,100,1,4,0,17.2,7.1,3.6,6,6,4,0,44,2,2,0,0,0,0,0,4,4,0,3,16,5,99,0,0,5,0,0,0,40.4,3,3,0,0,0,0,0,1,1,0,1,12,2,61,0,0,41,11,1,6,4,1,1,31,1,0,0,0,10,0,27,0,0,0,0,132,52,21,1,1,5,1,1,0,0,0,0,0,12,0,41,0,0,0,0,202,Panthers,Sunday,42,28,0,0
2008-09-07,1,2008,1,CHI,IND,AWAY,29,13,42,Lucas Oil Stadium,Artificial,74,51,12,44.5,9.5,7,8,7,7,0,31,44,31:44:00,17,9,7,1,62,319,5.1,3,39,183,4.7,2,21,13,136,0,0,6.5,10.5,61.9,80.65,16,10,62.5,0,0,0,2,1,2,1,25,7,60,1,0,2,14,5,6,1,5,178,35.6,0,1,1,3,3,7,0,0,28,16,28:16:00,23,5,15,3,66,293,4.4,1,15,53,3.5,0,49,30,240,1,0,4.9,8,61.2,80.31,11,5,45.5,2,0,0,3,1,2,1,8,6,40,1,1,2,17,4,3,0,2,98,49,1,0,-1,50,50,1,3,0,40,9.8,8.7,33.3,50,-1,-3,0,7.7,17.4,3.9,5,2,0,0,34,3,3,0,0,0,0,0,2,2,0,1,25,5,90,0,0,5,2,0,0,36.5,1,1,0,0,0,0,0,2,2,0,1,8,5,101,0,0,42,6,2,17,5,1,1,21,1,0,0,0,25,0,28,0,0,0,0,170,52,21,2,14,1,1,0,0,0,0,0,0,8,0,25,0,0,0,0,73,Bears,Sunday,23,51,0,0
2008-09-07,1,2008,1,CIN,BAL,AWAY,10,17,27,M&T Bank Stadium,Artificial,78,85,7,41,0,0,3,0,7,0,23,45,23:45,8,1,5,2,50,154,3.1,1,24,70,2.9,0,24,9,84,0,1,3.5,9.3,37.5,30.56,13,2,15.4,2,0,0,1,0,0,0,11,5,40,1,1,2,10,2,4,0,7,316,45.1,2,2,0,7,3,7,0,0,36,15,36:15:00,21,12,8,1,75,358,4.8,2,46,229,5,2,29,15,129,0,0,4.4,8.6,51.7,63.72,17,9,52.9,1,0,0,2,0,2,0,72,8,58,2,2,0,0,5,6,0,5,241,48.2,2,2,0,0,0,-3,-2,-2,8.7,6.9,7.7,0,0,3,2,2,25,19.2,0,3,1,1,0,37.1,1,1,0,0,0,0,0,1,1,0,4,11,4,118,0,0,4,3,0,0,46,2,2,0,0,0,0,0,2,1,0,4,56,2,25,1,16,57,21,0,0,9,2,2,65,1,0,0,0,11,0,44,0,0,0,0,260,35,8,2,10,5,1,1,11,0,0,0,0,35,0,14,0,0,0,0,230,Bengals,Sunday,26,29,0,0
2008-09-07,1,2008,1,DAL,CLE,AWAY,28,10,38,Cleveland Browns Stadium,Grass,71,65,12,48.5,-3,7,14,7,0,0,37,29,37:29:00,30,11,16,3,63,487,7.7,4,31,167,5.4,3,32,24,320,1,1,10,13.3,75,103.65,11,8,72.7,1,1,100,5,3,3,2,8,11,82,1,0,0,0,4,3,0,2,97,48.5,1,0,-1,0,7,0,3,0,22,31,22:31,11,2,7,2,43,205,4.8,1,18,91,5.1,0,24,11,114,1,0,4.8,10.4,45.8,73.96,9,3,33.3,0,0,0,2,1,1,1,43,9,55,2,0,1,0,1,0,0,5,203,40.6,0,1,1,60,66.7,3,3,1,16.7,16,0,50,100,-3,-3,-1,0,3.1,4,5,1,0,0,37,4,4,0,0,0,0,0,0,0,0,2,8,2,39,0,0,3,1,1,0,35,1,1,0,0,0,0,0,1,1,0,2,23,5,90,1,20,30,5,1,0,3,1,0,0,0,0,0,0,8,0,20,0,0,0,0,74,50,10,0,0,3,0,0,5,0,0,0,0,14,0,29,0,0,0,0,175,Cowboys,Sunday,32,25,0,0
2008-09-07,1,2008,1,DET,ATL,AWAY,21,34,55,Georgia Dome,Dome,70,40,0,43,-1,0,14,7,0,0,30,53,30:53:00,21,4,14,3,57,316,5.5,3,21,70,3.3,1,33,24,246,2,1,7.5,10.2,72.7,101.33,9,2,22.2,0,0,0,2,2,2,2,-8,5,30,1,0,3,16,3,3,0,6,255,42.5,1,0,-1,21,0,10,3,0,29,7,29:07:00,23,17,5,1,56,474,8.5,4,42,318,7.6,3,13,9,156,1,0,12,17.3,69.2,135.42,9,3,33.3,0,0,0,4,2,3,2,53,7,68,0,0,1,5,3,9,0,3,115,38.3,0,1,1,100,100,0,-6,-2,7.1,21.4,8.3,50,66.7,0,6,2,42.9,8.3,7.1,4,2,1,0,40,3,3,0,0,0,0,0,0,0,0,0,0,6,123,0,0,7,3,1,0,38.3,4,4,0,0,0,0,0,2,2,0,5,15,3,75,1,38,42,8,1,5,2,0,0,-8,0,0,0,0,0,0,27,0,0,0,0,240,44,6,3,16,2,0,0,0,0,0,0,0,10,0,34,0,0,0,0,115,Lions,Sunday,36,14,0,0
2008-09-07,1,2008,1,HOU,PIT,AWAY,17,38,55,Heinz Field,Grass,72,47,11,43.5,7,0,3,0,14,0,28,29,28:29:00,20,5,13,2,58,234,4,2,20,75,3.8,1,33,25,159,1,2,4.8,6.4,75.8,70.14,10,3,30,1,0,0,3,2,2,2,5,5,43,1,1,5,43,1,5,0,4,173,43.2,3,1,-2,7,14,14,3,0,31,31,31:31:00,21,10,9,2,59,305,5.2,5,39,183,4.7,3,18,13,122,2,0,6.8,9.4,72.2,127.55,10,6,60,0,0,0,5,5,1,1,3,4,41,3,1,2,15,6,9,0,3,129,43,1,3,2,66.7,100,-5,-4,-3,12.8,5,13.2,100,100,5,4,3,45,15.8,10,4,0,0,0,39,2,2,0,0,0,0,0,1,1,0,2,5,6,112,0,0,7,2,1,0,41.3,5,5,0,0,0,0,0,1,1,0,1,3,4,79,2,6,44,17,2,15,2,2,1,41,0,0,0,0,5,0,28,0,0,0,0,156,43,21,5,43,2,1,1,0,0,0,0,0,0,0,27,0,0,0,0,124,Texans,Sunday,38,20,0,0
2008-09-07,1,2008,1,JAX,TEN,AWAY,10,17,27,LP Field,Grass,78,58,0,37,-3,0,7,0,3,0,31,20,31:20:00,13,1,11,1,59,189,3.2,1,17,33,1.9,0,35,23,156,1,2,4.5,6.8,65.7,61.13,14,5,35.7,1,1,100,4,1,2,1,68,6,50,1,1,7,59,1,4,0,6,222,37,3,2,-1,3,7,0,7,0,28,40,28:40:00,14,7,6,1,57,309,5.4,2,32,137,4.3,1,24,14,172,1,2,7.2,12.3,58.3,59.72,13,3,23.1,1,0,0,2,2,2,2,16,5,36,1,0,1,3,11,8,0,7,300,42.9,2,3,1,25,50,-10,-4,-6,12.5,4,16.7,100,100,10,4,6,47.1,26.2,4,3,1,0,0,31.2,1,1,0,0,0,0,0,2,1,0,2,45,4,138,2,23,4,1,0,0,30.7,2,2,0,0,0,0,0,1,1,0,2,15,2,33,2,1,45,13,1,3,2,1,0,0,0,0,0,0,29,0,51,0,0,0,0,187,43,14,7,60,5,1,1,0,0,0,0,0,8,0,21,0,0,0,0,215,Jaguars,Sunday,42,25,0,0
